Onset_Range_1,Onset_Range_2,Onset_Range_3,Onset_Range_4,Onset_Range_5,Avg_nPVI
"(0.0, 4.0)","(4.0, 5.25)","(5.75, 9.75)","(9.75, 12.25)","(13.25, 14.5)",28.3809522
"(0.0, 4.0)","(4.0, 5.25)","(5.75, 9.75)","(9.75, 12.25)","(13.25, 15.0)",27.4285714
"(0.0, 4.0)","(4.0, 5.25)","(5.75, 9.75)","(10.25, 13.25)","(13.25, 14.5)",21.7142856
"(0.0, 4.0)","(4.0, 5.25)","(5.75, 9.75)","(10.25, 13.25)","(13.25, 15.0)",20.7619048
"(0.0, 4.0)","(4.0, 5.25)","(5.75, 13.25)","(13.25, 14.5)",NULL,27.42063475
"(0.0, 4.0)","(4.0, 5.25)","(5.75, 13.25)","(13.25, 15.0)",NULL,26.23015875
"(0.0, 4.0)","(4.0, 5.25)","(8.25, 11.25)","(13.25, 14.5)",NULL,37.97619025
"(0.0, 4.0)","(4.0, 5.25)","(8.25, 11.25)","(13.25, 15.0)",NULL,36.78571425
"(0.0, 4.0)","(4.0, 5.25)","(8.25, 13.25)","(13.25, 14.5)",NULL,27.55952375
"(0.0, 4.0)","(4.0, 5.25)","(8.25, 13.25)","(13.25, 15.0)",NULL,26.36904775
"(0.0, 4.0)","(4.0, 5.75)","(5.75, 9.75)","(9.75, 12.25)","(13.25, 14.5)",27.4285714
"(0.0, 4.0)","(4.0, 5.75)","(5.75, 9.75)","(9.75, 12.25)","(13.25, 15.0)",26.4761906
"(0.0, 4.0)","(4.0, 5.75)","(5.75, 9.75)","(10.25, 13.25)","(13.25, 14.5)",20.7619048
"(0.0, 4.0)","(4.0, 5.75)","(5.75, 9.75)","(10.25, 13.25)","(13.25, 15.0)",19.809524
"(0.0, 4.0)","(4.0, 5.75)","(5.75, 13.25)","(13.25, 14.5)",NULL,26.23015875
"(0.0, 4.0)","(4.0, 5.75)","(5.75, 13.25)","(13.25, 15.0)",NULL,25.03968275
"(0.0, 4.0)","(4.0, 5.75)","(8.25, 11.25)","(13.25, 14.5)",NULL,36.78571425
"(0.0, 4.0)","(4.0, 5.75)","(8.25, 11.25)","(13.25, 15.0)",NULL,35.59523825
"(0.0, 4.0)","(4.0, 5.75)","(8.25, 13.25)","(13.25, 14.5)",NULL,26.36904775
"(0.0, 4.0)","(4.0, 5.75)","(8.25, 13.25)","(13.25, 15.0)",NULL,25.17857175
"(2.5, 4.75)","(5.75, 9.75)","(9.75, 12.25)","(13.25, 14.5)",NULL,36.90476175
"(2.5, 4.75)","(5.75, 9.75)","(9.75, 12.25)","(13.25, 15.0)",NULL,35.71428575
"(2.5, 4.75)","(5.75, 9.75)","(10.25, 13.25)","(13.25, 14.5)",NULL,28.5714285
"(2.5, 4.75)","(5.75, 9.75)","(10.25, 13.25)","(13.25, 15.0)",NULL,27.3809525
"(2.5, 4.75)","(5.75, 13.25)","(13.25, 14.5)",NULL,NULL,38.4656083333333
"(2.5, 4.75)","(5.75, 13.25)","(13.25, 15.0)",NULL,NULL,36.878307
"(2.5, 4.75)","(8.25, 11.25)","(13.25, 14.5)",NULL,NULL,52.5396823333333
"(2.5, 4.75)","(8.25, 11.25)","(13.25, 15.0)",NULL,NULL,50.952381
"(2.5, 4.75)","(8.25, 13.25)","(13.25, 14.5)",NULL,NULL,38.6507936666667
"(2.5, 4.75)","(8.25, 13.25)","(13.25, 15.0)",NULL,NULL,37.0634923333333
