Onset_Start,Onset_Stop,Tala,Mod,Factor
0.0,4.0,<decitala.Decitala 51_Vijaya>,ratio,0.66667
2.5,4.75,<decitala.Decitala 7_Darpana>,retrograde,1
4.0,5.25,<decitala.Decitala 76_Jhampa>,ratio,1
4.0,5.75,<decitala.Decitala 53_Sama>,retrograde,1
5.75,9.75,<decitala.Decitala 51_Vijaya>,ratio,0.66667
5.75,13.25,<decitala.Decitala 8_Simhavikrama>,retrograde,1
8.25,11.25,<decitala.Decitala 39_Kokilapriya>,retrograde,0.5
8.25,13.25,<decitala.Decitala 23_Rangodyota>,retrograde,1
9.75,12.25,<decitala.Decitala 108_Addatali_Triputa>,ratio,2
10.25,13.25,<decitala.Decitala 10_Simhalila>,ratio,1
13.25,14.5,<decitala.Decitala 76_Jhampa>,ratio,1
13.25,15.0,<decitala.Decitala 53_Sama>,retrograde,1
